instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n018_f06_tight_s3,18,6,tight,3,dp,lp_optimal,7,42,306,73,233,0,1,0.0000,1,0.680600,0.008400,0.113100,1714.213093,1773.528921,5
lrsp_n018_f06_tight_s3,18,6,tight,3,ip,lp_optimal,7,42,306,73,233,0,1,0.0000,1,0.757100,0.012000,0.117500,1714.213093,1773.528921,5
lrsp_n019_f06_tight_s1,19,6,tight,1,ip,lp_optimal,10,60,690,114,576,0,1,0.0000,1,7.225100,0.014600,6.525700,2765.772718,2824.728846,5
lrsp_n019_f06_tight_s2,19,6,tight,2,ip,lp_optimal,7,42,505,112,393,0,1,0.0000,1,2.945800,0.011700,2.807200,1718.403344,1783.668506,5
lrsp_n019_f06_tight_s3,19,6,tight,3,ip,lp_optimal,11,66,752,114,638,0,1,0.0000,1,10.401000,0.016600,9.594700,3162.608396,3232.251767,5
lrsp_n020_f06_moderate_s1,20,6,moderate,1,ip,time_limit,3,18,408,120,288,0,1,0.0000,0,39.075600,0.011600,34.174500,1574.172545,1814.741555,4
lrsp_n020_f06_tight_s1,20,6,tight,1,dp,lp_optimal,7,42,366,85,281,0,1,0.0000,1,0.246600,0.008200,0.209900,1947.255890,1960.124286,5
lrsp_n020_f06_tight_s1,20,6,tight,1,ip,lp_optimal,7,42,366,85,281,0,1,0.0000,1,0.244000,0.007900,0.207500,1947.255890,1960.124286,5
lrsp_n020_f06_tight_s2,20,6,tight,2,ip,lp_optimal,7,42,432,102,330,0,1,0.0000,1,1.477200,0.012700,0.657800,1643.983886,1718.384488,5
lrsp_n020_f06_tight_s3,20,6,tight,3,ip,lp_optimal,6,36,413,108,305,0,1,0.0000,1,0.785800,0.011000,0.721300,1955.554225,1976.216933,5
lrsp_n021_f07_tight_s2,21,7,tight,2,ip,lp_optimal,7,49,464,113,351,0,1,0.0000,1,8.598500,0.016100,1.049600,1559.428405,1784.291738,6
lrsp_n021_f07_tight_s3,21,7,tight,3,ip,lp_optimal,8,56,532,141,391,0,1,0.0000,1,29.605400,0.014100,3.288000,1881.574403,2116.222093,6
lrsp_n022_f07_tight_s1,22,7,tight,1,ip,lp_optimal,7,49,416,136,280,0,1,0.0000,1,1.254100,0.011900,1.097900,2092.843034,2146.837978,6
lrsp_n022_f07_tight_s3,22,7,tight,3,ip,lp_optimal,7,49,436,131,305,0,1,0.0000,1,1.475400,0.009800,1.301600,1973.814713,2050.189321,6
lrsp_n023_f07_moderate_s1,23,7,moderate,1,dp,lp_optimal,9,63,652,119,533,0,1,0.0000,1,8.954900,0.027800,6.730300,1338.592918,1398.407741,4
lrsp_n023_f07_moderate_s1,23,7,moderate,1,ip,lp_optimal,9,63,652,119,533,0,1,0.0000,1,6.465300,0.022900,4.987000,1338.592918,1398.407741,4
lrsp_n023_f07_moderate_s3,23,7,moderate,3,dp,lp_optimal,9,63,494,91,403,0,1,0.0000,1,4.318800,0.017000,3.226100,1252.004904,1312.580357,4
lrsp_n023_f07_moderate_s3,23,7,moderate,3,ip,lp_optimal,9,63,494,91,403,0,1,0.0000,1,4.553800,0.018400,3.441100,1252.004904,1312.580357,4
lrsp_n023_f07_tight_s1,23,7,tight,1,dp,lp_optimal,5,35,270,72,198,0,1,0.0000,1,0.083400,0.006900,0.030700,1772.484699,1785.296345,6
lrsp_n023_f07_tight_s1,23,7,tight,1,ip,lp_optimal,5,35,270,72,198,0,1,0.0000,1,0.085000,0.007100,0.031800,1772.484699,1785.296345,6
lrsp_n023_f07_tight_s2,23,7,tight,2,ip,lp_optimal,10,70,762,160,602,0,1,0.0000,1,32.437600,0.025100,31.803300,2156.985730,2231.919362,6
lrsp_n023_f07_tight_s3,23,7,tight,3,dp,lp_optimal,4,28,180,53,127,0,1,0.0000,1,0.059700,0.006700,0.019600,1647.997672,1693.300379,6
lrsp_n023_f07_tight_s3,23,7,tight,3,ip,lp_optimal,4,28,180,53,127,0,1,0.0000,1,0.061800,0.006300,0.020900,1647.997672,1693.300379,6
lrsp_n024_f08_tight_s1,24,8,tight,1,ip,lp_optimal,9,72,626,165,461,0,1,0.0000,1,7.379900,0.008900,1.035400,2070.847722,2242.498231,6
lrsp_n024_f08_tight_s2,24,8,tight,2,ip,lp_optimal,6,48,553,172,381,0,1,0.0000,1,5.673100,0.010400,1.017700,1883.057394,2062.206940,6
