instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n011_f03_easy_s1,11,3,easy,1,ip,lp_optimal,13,39,453,33,416,4,2,2.0000,1,51.509700,0.008000,51.491400,857.480674,857.480674,1
lrsp_n011_f03_easy_s2,11,3,easy,2,ip,lp_optimal,13,39,492,33,456,3,2,2.0000,1,121.943100,0.009900,121.911900,703.075625,715.626354,1
lrsp_n011_f03_easy_s3,11,3,easy,3,ip,lp_optimal,13,39,429,33,393,3,2,2.0000,1,43.176900,0.008000,43.159600,826.917581,826.917581,1
lrsp_n011_f03_moderate_s1,11,3,moderate,1,ip,lp_optimal,11,33,371,33,338,0,1,0.0000,1,1.437000,0.005600,1.425000,1332.979279,1332.979279,2
lrsp_n011_f03_moderate_s2,11,3,moderate,2,ip,lp_optimal,8,24,277,33,244,0,1,0.0000,1,5.246100,0.005200,5.214600,1061.264289,1141.565316,2
lrsp_n011_f03_moderate_s3,11,3,moderate,3,ip,lp_optimal,8,24,270,33,237,0,1,0.0000,1,1.166200,0.004900,1.053800,1336.847110,1401.888868,2
lrsp_n011_f03_tight_s1,11,3,tight,1,ip,lp_optimal,7,21,170,31,139,0,1,0.0000,1,0.063600,0.003300,0.056600,1911.972101,1955.729143,3
lrsp_n011_f03_tight_s2,11,3,tight,2,ip,lp_optimal,5,15,152,32,120,0,1,0.0000,1,0.094500,0.003100,0.088400,1451.700016,1452.930987,3
lrsp_n011_f03_tight_s3,11,3,tight,3,ip,lp_optimal,6,18,197,33,164,0,1,0.0000,1,0.049500,0.003000,0.042500,1841.153035,1845.752926,3
lrsp_n012_f04_easy_s1,12,4,easy,1,ip,lp_optimal,10,40,505,48,456,1,3,3.0000,1,120.786800,0.007100,120.748200,938.472595,986.501055,2
lrsp_n012_f04_easy_s2,12,4,easy,2,ip,lp_optimal,12,48,587,48,535,4,2,2.0000,1,349.941200,0.010800,349.888400,866.410429,888.397098,2
lrsp_n012_f04_easy_s3,12,4,easy,3,ip,lp_optimal,11,44,526,48,475,3,3,3.0000,1,149.367300,0.008100,149.338000,1151.903834,1162.170330,2
lrsp_n012_f04_moderate_s1,12,4,moderate,1,ip,lp_optimal,8,32,372,48,324,0,1,0.0000,1,2.544900,0.005200,1.404600,1058.094215,1171.489489,2
lrsp_n012_f04_moderate_s2,12,4,moderate,2,ip,lp_optimal,12,48,472,48,424,0,1,0.0000,1,11.742900,0.008800,9.709100,961.543128,1184.953083,3
lrsp_n012_f04_moderate_s3,12,4,moderate,3,ip,lp_optimal,9,36,441,48,393,0,1,0.0000,1,2.661600,0.006000,2.416300,1267.417474,1427.855133,2
lrsp_n012_f04_tight_s1,12,4,tight,1,ip,lp_optimal,5,20,164,39,125,0,1,0.0000,1,0.656100,0.003100,0.021000,1460.016491,1665.115667,3
