method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
ip,lrsp_n020_f06_tight_s1,20,6,,0.226500,0.190000,0.008200,7,366,1960.124286,lp_optimal,reached_optimality=1,tight,1,1947.255890,0
ip,lrsp_n020_f06_tight_s2,20,6,,1.293000,0.648700,0.013700,7,432,1718.384488,lp_optimal,reached_optimality=1,tight,2,1643.983886,0
ip,lrsp_n020_f06_tight_s3,20,6,,0.705600,0.642700,0.010500,6,413,1976.216933,lp_optimal,reached_optimality=1,tight,3,1955.554225,0
ip,lrsp_n020_f10_moderate_s1,20,10,,35.639300,33.734000,0.018700,4,776,1670.700025,time_limit,reached_optimality=0,moderate,1,1468.325596,0
ip,lrsp_n020_f10_moderate_s3,20,10,,39.086200,31.463600,0.029100,6,854,1834.890527,time_limit,reached_optimality=0,moderate,3,1635.255875,0
dp,lrsp_n020_f10_tight_s1,20,10,,0.395600,0.177400,0.009600,5,427,2135.127254,lp_optimal,reached_optimality=1,tight,1,2083.649709,0
ip,lrsp_n020_f10_tight_s1,20,10,,0.441000,0.202900,0.011400,5,427,2135.127254,lp_optimal,reached_optimality=1,tight,1,2083.649709,0
ip,lrsp_n020_f10_tight_s2,20,10,,2.275100,1.192600,0.012900,7,568,2089.243983,lp_optimal,reached_optimality=1,tight,2,1952.062000,0
dp,lrsp_n020_f10_tight_s3,20,10,,0.465200,0.164900,0.010900,7,472,2435.814492,lp_optimal,reached_optimality=1,tight,3,2360.242870,0
ip,lrsp_n020_f10_tight_s3,20,10,,0.500200,0.189600,0.012400,7,472,2435.814492,lp_optimal,reached_optimality=1,tight,3,2360.242870,0
ip,lrsp_n025_f05_tight_s1,25,5,,4.442400,3.282300,0.015200,9,483,1799.723450,lp_optimal,reached_optimality=1,tight,1,1750.635873,0
ip,lrsp_n025_f05_tight_s2,25,5,,20.121500,19.370600,0.015700,10,637,1930.256218,lp_optimal,reached_optimality=1,tight,2,1876.112553,0
dp,lrsp_n025_f05_tight_s3,25,5,,0.700000,0.267400,0.012100,8,410,1854.200512,lp_optimal,reached_optimality=1,tight,3,1816.988844,0
ip,lrsp_n025_f05_tight_s3,25,5,,0.895100,0.325900,0.014400,8,410,1854.200512,lp_optimal,reached_optimality=1,tight,3,1816.988844,0
dp,lrsp_n025_f08_moderate_s1,25,8,,24.452900,24.033500,0.027800,11,876,1559.706877,lp_optimal,reached_optimality=1,moderate,1,1510.187820,0
ip,lrsp_n025_f08_moderate_s1,25,8,,22.190100,21.731500,0.026100,11,876,1559.706877,lp_optimal,reached_optimality=1,moderate,1,1510.187820,0
ip,lrsp_n025_f08_moderate_s3,25,8,,38.557500,38.397000,0.007300,1,309,1908.520681,time_limit,reached_optimality=0,moderate,3,1819.067383,0
dp,lrsp_n025_f08_tight_s1,25,8,,2.125100,0.096100,0.009100,7,389,1927.786233,lp_optimal,reached_optimality=1,tight,1,1837.039189,0
ip,lrsp_n025_f08_tight_s1,25,8,,2.112300,0.098200,0.009700,7,389,1927.786233,lp_optimal,reached_optimality=1,tight,1,1837.039189,0
dp,lrsp_n025_f08_tight_s2,25,8,,2.691100,0.443800,0.013500,8,528,2014.706940,lp_optimal,reached_optimality=1,tight,2,1861.192086,0
ip,lrsp_n025_f08_tight_s2,25,8,,2.574800,0.430300,0.013500,8,528,2014.706940,lp_optimal,reached_optimality=1,tight,2,1861.192086,0
dp,lrsp_n025_f08_tight_s3,25,8,,0.466400,0.342600,0.013700,7,433,1862.478460,lp_optimal,reached_optimality=1,tight,3,1816.084847,0
ip,lrsp_n025_f08_tight_s3,25,8,,0.432300,0.334100,0.013100,7,433,1862.478460,lp_optimal,reached_optimality=1,tight,3,1816.084847,0
ip,lrsp_n030_f06_tight_s1,30,6,,32.502600,32.175800,0.020600,6,678,2083.391575,time_limit,reached_optimality=0,tight,1,2067.962487,0
ip,lrsp_n030_f06_tight_s2,30,6,,34.186600,31.210900,0.019800,10,811,2264.823378,time_limit,reached_optimality=0,tight,2,2179.200806,0
dp,lrsp_n030_f06_tight_s3,30,6,,8.461500,7.606700,0.016600,9,546,2434.114057,lp_optimal,reached_optimality=1,tight,3,2376.243337,0
ip,lrsp_n030_f06_tight_s3,30,6,,8.763000,8.007000,0.018200,9,546,2434.114057,lp_optimal,reached_optimality=1,tight,3,2376.243337,0
ip,lrsp_n030_f10_tight_s1,30,10,,32.078600,30.237700,0.015800,4,843,2584.256896,time_limit,reached_optimality=0,tight,1,2424.063548,0
dp,lrsp_n030_f10_tight_s2,30,10,,2.140000,1.104100,0.022200,8,711,2495.974586,lp_optimal,reached_optimality=1,tight,2,2377.762223,0
ip,lrsp_n030_f10_tight_s2,30,10,,1.927800,0.983600,0.020000,8,711,2495.974586,lp_optimal,reached_optimality=1,tight,2,2377.762223,0
dp,lrsp_n030_f10_tight_s3,30,10,,0.737900,0.423600,0.012700,6,501,2233.892837,lp_optimal,reached_optimality=1,tight,3,2145.605509,0
ip,lrsp_n030_f10_tight_s3,30,10,,0.856300,0.465100,0.014200,6,501,2233.892837,lp_optimal,reached_optimality=1,tight,3,2145.605509,0
