method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
ip,lrsp_n014_f04_tight_s3,14,4,,0.534000,0.213300,0.003700,6,287,1702.311078,lp_optimal,reached_optimality=1,tight,3,1606.931800,0
ip,lrsp_n015_f05_moderate_s1,15,5,,10.786100,10.763600,0.005000,9,497,1527.999118,lp_optimal,reached_optimality=1,moderate,1,1512.285319,0
ip,lrsp_n015_f05_moderate_s2,15,5,,187.855600,187.543200,0.007500,10,597,1277.690108,lp_optimal,reached_optimality=1,moderate,2,1213.397366,0
ip,lrsp_n015_f05_moderate_s3,15,5,,14.643300,14.468300,0.008000,9,550,1459.490517,lp_optimal,reached_optimality=1,moderate,3,1404.397511,0
ip,lrsp_n015_f05_tight_s1,15,5,,0.133800,0.109100,0.003600,7,309,2068.470420,lp_optimal,reached_optimality=1,tight,1,2019.543160,0
ip,lrsp_n015_f05_tight_s2,15,5,,1.243300,1.051500,0.004500,7,333,1644.692080,lp_optimal,reached_optimality=1,tight,2,1579.341737,0
ip,lrsp_n015_f05_tight_s3,15,5,,0.149600,0.143400,0.003100,5,248,1778.325617,lp_optimal,reached_optimality=1,tight,3,1778.325617,0
ip,lrsp_n016_f05_moderate_s1,16,5,,33.511800,33.475800,0.005900,9,485,1881.043450,lp_optimal,reached_optimality=1,moderate,1,1845.830839,0
ip,lrsp_n016_f05_moderate_s2,16,5,,225.040200,224.785400,0.010800,11,712,1511.280614,lp_optimal,reached_optimality=1,moderate,2,1407.709096,0
ip,lrsp_n016_f05_moderate_s3,16,5,,20.575300,20.294800,0.007100,10,497,1322.325585,lp_optimal,reached_optimality=1,moderate,3,1250.722646,0
ip,lrsp_n016_f05_tight_s1,16,5,,1.705100,1.456000,0.005200,9,474,2548.336117,lp_optimal,reached_optimality=1,tight,1,2446.377086,0
ip,lrsp_n016_f05_tight_s2,16,5,,0.487600,0.292600,0.004500,7,345,1972.181610,lp_optimal,reached_optimality=1,tight,2,1859.655665,0
ip,lrsp_n016_f05_tight_s3,16,5,,0.285700,0.151000,0.003800,6,278,1628.674172,lp_optimal,reached_optimality=1,tight,3,1584.498424,0
ip,lrsp_n017_f05_moderate_s1,17,5,,18.486400,18.457700,0.007100,8,500,1441.447486,lp_optimal,reached_optimality=1,moderate,1,1434.144632,0
